2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
154,Jeremy McNichols,JAX,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Robert Turbin,SEA,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
166,Corey Clement,PHI,RB,4,0,0,0,0,0,0,0,0,2,2,-1,-4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Alvin Kamara SUS,NO,RB,15,187,932,5,16,107,83,756,5,1,0,25.2,377.8
2,Dalvin Cook,MIN,RB,14,312,1557,5,16,54,44,361,1,5,3,24.1,337.8
3,Derrick Henry,TEN,RB,16,378,2027,5.4,17,31,19,114,0,3,2,20.8,333.1
4,David Montgomery,CHI,RB,15,247,1070,4.3,8,68,54,438,2,1,1,17.7,264.8
5,Aaron Jones,GB,RB,14,201,1104,5.5,9,63,47,355,2,2,0,18.5,258.9
6,Jonathan Taylor PUP,IND,RB,15,232,1169,5,11,39,36,299,1,1,1,16.9,252.8
7,James Robinson,JAX,RB,14,240,1070,4.5,7,60,49,344,3,3,1,17.9,250.4
8,Josh Jacobs O,LV,RB,15,273,1065,3.9,12,45,33,238,0,2,2,15.4,231.3
9,Ezekiel Elliott,DAL,RB,15,244,979,4,6,71,52,338,2,6,5,14.9,223.7
10,Kareem Hunt,CLE,RB,16,198,841,4.2,6,51,38,304,5,2,0,13.7,218.5
11,Nick Chubb,CLE,RB,12,190,1067,5.6,12,18,16,150,0,1,1,17.3,207.7
12,Mike Davis,CAR,RB,15,165,642,3.9,6,70,59,373,2,1,1,13.8,206.5
13,Antonio Gibson,WAS,RB,14,170,795,4.7,11,44,36,247,0,2,2,14.4,202.2
14,Melvin Gordon III,DEN,RB,15,215,986,4.6,9,44,32,158,1,4,4,13.2,198.4
15,Nyheim Hines,IND,RB,16,89,380,4.3,3,76,63,482,4,0,0,12.1,193.2
16,Kenyan Drake,ARI,RB,15,239,955,4,10,31,25,137,0,3,1,12.8,192.2
17,J.D. McKissic,WAS,RB,16,85,365,4.3,1,110,80,589,2,3,1,12,191.4
18,D'Andre Swift,DET,RB,13,114,521,4.6,8,57,46,357,2,3,2,14.6,189.8
19,Chris Carson,SEA,RB,12,141,681,4.8,5,46,37,287,4,1,0,15.6,187.8
20,Ronald Jones SUS,TB,RB,14,192,978,5.1,7,42,28,165,1,2,2,13.3,186.3
21,David Johnson,HOU,RB,12,147,691,4.7,6,46,33,314,2,2,1,15,179.5
22,Clyde Edwards-Helaire,KC,RB,13,181,803,4.4,4,54,36,297,1,0,0,13.5,176
23,Miles Sanders,PHI,RB,12,164,867,5.3,6,52,28,197,0,4,2,14.2,170.4
24,J.K. Dobbins,BAL,RB,15,134,805,6,9,24,18,120,0,2,0,11.2,168.5
25,Chase Edmonds,ARI,RB,16,97,448,4.6,1,67,53,402,4,2,0,10.5,168
26,Austin Ekeler,LAC,RB,10,116,530,4.6,1,65,54,403,2,1,0,16.5,165.3
27,James Conner,PIT,RB,13,169,721,4.3,6,43,35,215,0,2,0,12.7,164.6
28,Myles Gaskin,MIA,RB,10,142,584,4.1,3,47,41,388,2,2,2,16.4,164.2
29,Todd Gurley II,ATL,RB,15,195,678,3.5,9,34,25,164,0,2,0,10.9,163.2
30,Giovani Bernard,CIN,RB,16,124,416,3.4,3,59,47,355,3,1,1,9.9,158.1
31,Devin Singletary,BUF,RB,16,156,687,4.4,2,50,38,269,0,1,1,9,143.6
32,Jeff Wilson Jr.,SF,RB,11,126,600,4.8,7,28,13,133,3,2,2,12.9,142.3
33,Wayne Gallman,NYG,RB,15,147,682,4.6,6,27,21,114,0,1,0,9.1,136.6
34,Latavius Murray,NO,RB,15,146,656,4.5,4,26,23,176,1,1,0,9.1,136.2
35,Leonard Fournette,TB,RB,13,97,367,3.8,6,47,36,233,0,0,0,10.2,132
36,Darrell Henderson Jr.,LAR,RB,15,138,624,4.5,5,24,16,159,1,0,0,8.7,130.3
37,Gus Edwards,BAL,RB,16,144,723,5,6,13,9,129,0,1,1,8,128.2
38,Jamaal Williams,GB,RB,14,119,505,4.2,2,35,31,236,1,0,0,9.1,127.1
39,Jerick McKinnon,SF,RB,16,81,319,3.9,5,46,33,253,1,0,0,7.9,126.2
40,Adrian Peterson,DET,RB,16,156,604,3.9,7,18,12,101,0,0,0,7.8,124.5
41,Tony Pollard,DAL,RB,16,101,435,4.3,4,40,28,192,1,0,0,7.5,120.7
42,James White,NE,RB,14,35,121,3.5,2,62,49,375,1,1,0,8.3,116.6
